headlines,text
Fox 'too reliant on reality TV',"Five other episodes of the show had also been filmed will be dropped from Fox's schedules, Ms Berman said.Ms Berman said: ""I think the audience expects loud things from Fox.Fox had unveiled a new strategy last year promising to launch new shows every season, including the traditionally quiet summer season.Though that had met with a poor reception, Ms Berman said ""there's no question that the audience, in our mind, is ready, willing and able to accept new programming in the summer"".Fox has changed this plan, launching new shows in May instead of June.One of the new shows will be the animated series American Dad, made by Seth MacFarlane, the creator of Family Guy"
George Michael to perform for BBC,"Comedian Harry Hill will host a spoof nostalgia show on Christmas Day, while singer Jamie Cullum will perform a live concert for the station.The station also confirmed that Chris Tarrant will be hosting a one-off New Year's Eve programme.George Michael is to perform live at London's Abbey Road studios as part of a BBC Radio 2 special next month.Other Christmas specials from Radio 2 include singer Jamelia hosting a Christmas Day concert from the London Community Gospel Choir, while actor Christopher Lee will read Fireside Tales from the likes of Edgar Allan Poe, E Nesbit and Ambrose Bierce.He left London's Capital FM this year after 17 years"
Joy Division story to become film,"The life of late Joy Division singer Ian Curtis is to be made into a film, it has been announced.The film is to be directed by Dutch-born Anton Corbijn, who has made music movies for Depeche Mode and U2.""Film people have a tendency to mess up when they touch music, but I hope this one works.Plans for a separate Joy Division film had been announced at the Cannes Film Festival earlier this year, but the project did not get off the ground as it failed to get the backing of Curtis's family.Mr Wilson, who was also involved with Joy Division's sucessor band New Order, as well as the Happy Mondays, said he would ""rather not"" appear in the film.Mr Wilson, who has remained friends with Curtis's widow and daughter Natalie, who he says asked for his involvement to make the film ""official"""
New York rockers top talent poll,"New York electro-rock group The Bravery have come top of the BBC News website's Sound of 2005 poll to find the music scene's most promising new act.Singer Sam Endicott said he felt ""great"" about coming top of the Sound of 2005 list.Chris Hawkins, host of BBC 6 Music's chart show, said the band had ""great guitars and a mastery of the electro-clash sound"".""The Bravery are proof alone that New York City is still home to hot new talent,"" he said.Other new artists in this year's list include London indie group Bloc Party at second and UK rapper Kano third.Elsewhere on the top 10, second-placed rock band Bloc Party began their rise after supporting Franz Ferdinand and UK garage MC Kano, in third, is signed to The Streets' record label.One of the experts to tip The Bravery was The Times' music critic Paul Connolly, who said they were ""spiky but in love with pop"".Rock band Keane won Sound of 2004 while US rapper 50 Cent topped Sound of 2003.The Bravery, who have been compared to The Cure and New Order, were the most heavily-tipped act in the survey of 110 impartial critics and broadcasters.The artists could be from any country and any musical genre, but must not have had a UK top 20 single, been a contestant on a TV talent show or already be famous for doing something else, such as a soap actor"
Aaliyah claim dismissed by court,Aaliyah was a rising star in music and film before she was killed.A New York appeals court has told Blackground Records that only the singer's parents had the right to launch a claim for wrongful death.Aaliyah had completed a music video when the plane crashed in the Bahamas.An investigation into the crash revealed the twin-engined Cessna was overloaded by 700 pounds (320kg)
Three DJs replace Peel radio show,"The late John Peel's BBC Radio 1 show is to be succeeded in February by three shows hosted by three DJs focusing on diverse, non-commercial music.All of the three DJs will continue to host their current shows on Radio 1.Radio 1's controller, Andy Parfitt, said: ""We believe that by having a series of DJs hosting a selection of shows under the One Music title, we will ensure that his legacy lives on.""Radio 1 said the show would not try to replace Peel, but would rise to the ""challenge"" of ""keeping his legacy alive"" with unpredictable music.Huw Stephens is currently one half of the Radio 1 Thursday night show Bethan and Huw in Wales, which explores new music, especially up and coming acts breaking through in Wales.One Music is not new to Radio 1 as it already exists as a website, offering advice on aspects of the music industry, such as recording a demo and signing a record contract.""It is widely accepted that John Peel can never be replaced,"" said the radio station.His show is dedicated to showcasing the best of UK black music and broadcasts live sessions, often giving new artists their first chance to perform on live national radio"
Connick Jr to lead Broadway show,"Singer and actor Harry Connick Jr is to star in a Broadway revival of 1950s hit musical The Pajama Game.Connick appeared with his band on Broadway in 1990, and he wrote the score for a musical based on Emile Zola's novel Therese Raquin, called Thou Shalt Not.Jeffrey Richards, the show's co-producer, said Connick was ""an actor of enormous charisma and skill, a wonderful singer and a bona fide star"".It has a score by Richard Adler and Jerry Ross, and Adler is writing two new songs for the score, which includes numbers including Hey There, Small Talk and Steam Heat"
Elvis fans hold birthday bash,"Elvis' single Jailhouse Rock became the UK's number one on Sunday.Hit single One Night will follow next week - with the chance of becoming the 1,000th number one as interest surrounding Elvis' birthday grows.Record company SonyBMG are releasing Elvis' 18 number one singles at the rate of one a week in Britain, complete with original artwork and a collector's box.Jailhouse Rock is now the 999th number one single in UK pop history"
Elvis regains top chart position,"Hit single One Night will follow next week - with the chance of becoming the 1,000th number one as interest surrounding Elvis's birthday grows.Elvis Presley has scored his 19th number one single in the UK charts with the re-release of Jailhouse Rock, 27 years after his death.Elvis's number one is the 999th in chart history and comes the day after what would have been his 70th birthday.In at number three was Iron Maiden for the Number Of The Beast and Erasure entered the chart at four with Breathe.In the album charts, the Scissor Sisters went to number one with their self-titled release, knocking Green Day's American Idiot to third place.Record company SonyBMG are releasing Elvis's 18 number one singles at the rate of one a week in Britain, complete with original artwork and a collector's box"
Pop band Busted to 'take a break',"Chart-topping pop band Busted have confirmed that they plan to ""take a break"", following rumours that they were on the verge of splitting.A statement from the band's record company Universal said frontman Charlie Simpson planned to spend some time working with his other band, Fightstar.However, recent rumours have suggested that Simpson has been wanting to quit the band to focus on Fightstar.The band have capitalised on a craze for artists playing catchy pop music with rock overtones.The band have had eight top three hits, including four number ones, since they first hit the charts in 2002"
Franz Ferdinand's art school lesson,"The buzz about the band soon spread around the music industry and 40 record labels turned up to one gig in Glasgow - which the band thought was ""totally ridiculous"".Scottish rock band Franz Ferdinand, who shot to prominence in 2004, have won two Brit Awards.At the turn of the year, Kapranos told BBC News Online the band were fed up with serious bands in ""that post-rock thing that seemed to be doing its damndest to avoid any bloody tune"".Nevertheless Franz Ferdinand were the only UK band to win an MTV Video Music Award this year, taking the breakthrough video crown for Take Me Out.Franz Ferdinand had a question they asked themselves every time they wrote a song, Kapranos said.In September it was named album of the year winning the prestigious Mercury Music Prize.With a cool, spiky, fun sound previously associated with bands like Talking Heads, they hit upon a style that had been out of fashion for a while and so was ripe for another airing.The four-piece met two years ago when drummer Paul Thomson was working at the Glasgow art school where bassist Bob Hardy was studying.With their self-titled debut, Franz Ferdinand have achieved what most rock bands crave - high credibility and critical acclaim while also selling stacks of CDs.Singer Alex Kapranos was studying English at university but had friends at art school, and the line-up was completed when guitarist Nick McCarthy moved from Munich, Germany, to the city.They have been nominated for three Grammy awards in the US as well as the US music industry's Shortlist award, but lost the Shortlist prize to US band TV on the Radio"
Singer Knight backs anti-gun song,"Size, whose New Forms album won the 1997 Mercury Music Prize, said gun use was ""nothing to be glamorised"".R&B star Beverley Knight said she sang on an anti-gun single after being ""haunted"" by the fatal 2003 shooting of two teenage girls in Birmingham.Size said he collaborated on the single, which was released on Monday, because he has ""a bird's eye view of what's going on"".Knight said the scale of the problem became clear to her after the 2003 shootings in Aston, near Knight's Birmingham home.She said she was ""horrified"" by the deaths of Charlene Ellis, 18, and Letisha Shakespeare, 17"
Portishead back after eight years,"Barrow said he was surprised people thought the band, who won a Mercury Music Prize in 1995 for their debut album Dummy, had split up.The follow up, Portishead, was released three years later.Portishead will play alongside fellow Bristol band Massive Attack at Oxfam's Tsumani appeal, held at the Bristol Academy on 19 February.News of their album plans comes after confirmation the Bristol band will play a tsunami charity show next month.Founding member Geoff Barrow told BBC 6 Music the record was well on the way to being completed.Portishead became an international success and a deeply influential band despite their scant recorded output"
Fightstar take to the stage,"Charlie Simpson took his new band Fightstar to the stage on Friday night, just hours after officially announcing his departure from pop band Busted.All three band members stressed that the break up was amicable, although Bourne admitted he was ""devastated"" to hear of Simpson's departure.When Fightstar eventually took to the stage around 11pm, however, a riotous cheer easily drowned out any hecklers lurking in the crowd.Less impressed were fellow students Ryan Crabbe and Gordon Rennie, who observed, ""With Fightstar, Charlie has clearly progressed from Busted's sound, but they're still not very inspiring.""He was greeted by a sell-out crowd at the University of Warwick.Warwick student Helen Clutterbuck admitted: ""I came to check out Fightstar because of all the controversy.While Simpson declared he would look back with pride on Busted's enormous success, his focus turned immediately to Fightstar, with Friday's press conference coinciding with the start of the band's 13-date tour of the UK.With queues outside the venue long and expectations high, the pressure was on Fightstar to impress.Fuelled by this news, all 1,400 tickets to see Charlie's first post-Busted live appearance - at the University of Warwick's Student Union - sold out rapidly"
Elvis 'set for chart hat-trick',"A Fool Such As I would become the 1,001st number one single in UK chart history after One Night took the 1,000th place on Sunday.The late US legend Elvis Presley is likely to score his third UK number one single in three weeks on Sunday, according to early sales figures.Presley's 18 original number ones are being reissued as limited release singles, with fans eager to buy the set to fill a collector's box that went on sale in the first week.Bookmakers have offered odds of 10/1 for all Presley's 18 hits to go back to number one"
Youssou N'Dour wins music prize,"Senegalese musician Youssou N'Dour has been named a winner of a BBC Radio 3 World Music Award.The concert will be broadcast on Radio 3's World Music Day the following evening and will feature performances by many of the award winners.It will also include the announcement of the Audience Award, chosen by Radio 3 and BBC World Service listeners, alongside BBC Four viewers.Highlights of the Poll Winners Concert, to be held at The Sage, Gateshead, will be televised on BBC Four on 11 March"
TOTP turns to Elvis impersonator,"Top of the Pops has turned to the star of Elvis Presley musical Jailhouse Rock after the late rock legend scooped the UK's 1,000th number one single.Mario Kombou, who plays the Presley role on stage, will sing One Night on Friday's BBC One show as producers are unable to use Presley video footage.Kombou is likely to appear on the show again next week as the next Presley re-release, A Fool Such As I, is on course to give him his third number one in three weeks.A Top of the Pops spokesperson said: ""It's a very special number one as it's the UK's 1,000th"
Blue beat U2 to top France honour,"US band Maroon 5 was named best new international artist, and took the best international song title for This Love.U2 received a special achievement prize at the NRJ Music Awards, but Blue beat them to the international group award.Singer Jenifer also took home two awards, for best French female singer and best French album.US pop act Black Eyed Peas picked up the best international album gong for Elephunk"
Ten-year tragedy of missing Manic,"The Manic Street Preachers release their first music since Edwards' disappearance.The band play their first concerts since Edwards' disappearance as a trio, performing support slots for The Stone Roses on their UK stadium tour.Edwards did not feature in the original line-up of the band, though.The Manic Street Preachers may only have become stadium-conquering rock giants since his disappearance - but Edwards was the figurehead for their first, dangerous and dazzling incarnation.By the time the band released their third album, The Holy Bible, in October 1994, Edwards had been admitted to hospital with depression.Richey Edwards, guitarist and lyricist for The Manic Street Preachers, vanished 10 years ago, on 1 February 1995.The Manics' seventh studio album, Lifeblood, features a song dedicated to Edwards called Cardiff Afterlife.On the seventh anniversary of his disappearance, police offer Edwards' parents the opportunity to sign a death certificate.After becoming a full-time member, Edwards became a critical part of the band, writing lyrics and playing guitar - though in many concerts, he was not actually plugged in.A skeleton found by the River Severn is not Edwards, tests reveal.A pair of trainers containing human bones washed up on the banks of the River Severn have no link to Edwards, police say.Edwards' sister Rachel makes an emotional TV appeal five years after the disappearance.Graham and Sherry Edwards fly to the Spanish island of Fuerteventura six weeks after reports a man fitting their son's description has been seen in a bar called Underground.A fan says she saw Edwards in the hippy resort of Goa, India.But Edwards replaced Flicker in time for the band's self-financed debut, Suicide Alley, after designing the record's artwork"
Mogul Wilson backing UK rap band,"Tony Wilson, the music mogul who established the influential Factory Records in the 1980s, is to launch a new label - convinced he has discovered his ""third major band"".Wilson believes Raw T could be ""to F4 as Joy Division were to Factory records"".Now Wilson believes rap act Raw T - signed to his F4 label, the fourth incarnation of Factory - will ""complete the hat-trick"".Wilson stressed that the independent music scene remained ""as important"" as it had been during the 1980s, when labels such as Factory and Rough Trade proliferated.Wilson has twice tried to resurrect Factory - which lasted for 14 years before folding - but conceded these efforts had been ""despondent and dismal experiences"".""Suddenly, when Raw T came into my life, I realised they are my third major band,"" he told BBC World Service's The Music Biz programme.The story of Factory records - which also owned the legendary Hacienda club in Manchester - was told in the Michael Winterbottom film 24 Hour Party People, in which Wilson was played by Steve Coogan.Wilson explained how his son persuaded him to go and see Raw T, but he had initially been reluctant saying he ""detested"" young British people rapping"
Singer Sizzla jailed for swearing,"Reggae star Sizzla, whose UK tour was cancelled after protests at his ""anti-gay"" lyrics, has been jailed in Jamaica for swearing on stage.Sizzla's UK tour was cancelled after Scotland Yard's Racial and Violent Crime taskforce announced it was examining lyrics by eight reggae artists.Sizzla's five-date UK tour was cancelled last November after protests by gay rights campaigners.It would not confirm that Sizzla was among them"
Spears seeks aborted tour payment,"The pop star cancelled her Onyx Hotel tour last June after suffering a knee injury during a video shoot.The Onyx Hotel tour was cited as ""a highly crafted production which included the well-known music and dancing of Spears, supported by elaborate costumes, complex choreography as well as cutting-edge video production, lighting and other effects"".Singer Britney Spears is suing eight insurance companies that have refused to reimburse her for cancelling her 2004 world tour.In September Spears married Kevin Federline, who had been a dancer on the aborted tour.The 22-year-old star initially missed a number of shows on the 82-date tour after injuring her knee during a show in Illinois last March"
Deal to ban 'homophobic' reggae,"The industry would halt any attempt by an artist to perform or release a song inciting violence against any group or gender, he said.The reggae industry is to refuse to release or stage concerts featuring homophobic songs under a global deal struck with gay rights groups.'s Mr Lock said: ""The main players in the dancehall reggae industry will attempt to regulate the industry themselves to ensure that there aren't any violently homophobic or gay-bashing lyrics in the future.The protests had been led by the Stop Murder Music coalition, an umbrella group including OutRage!, the Black Gay Men's Advisory Group and Jamaican movement J-Flag.A damaging campaign against stars such as Beenie Man and Sizzla has been waged over lyrics that allegedly call for gay people to be killed or assaulted.Brett Lock of gay group OutRage!The campaign was a blow to the reggae industry, Mr Yearwood admitted.""The reggae industry will work with the artists while still maintaining their freedom of speech and artistic freedom,"" according to media and PR strategist Glen Yearwood, who is representing the reggae industry.The Stop Murder Music campaign saw protesters picket gigs, resulted in Sizzla's UK tour being cancelled in November, forced Mobo award organisers to drop artists from nominations and saw Beenie Man dropped from an MTV show in August.That coalition has reached a verbal agreement with major dancehall reggae record labels and concert promoters covering eight of the scene's biggest stars"
Soul sensation ready for awards,"The teenager also has Grammy nominations in the US, normally dominated by home-grown acts.The 17-year-old singer is hoping to tour in Japan, Australia and the US in 2005.Born Jocelyn Stoker, the Devon diva started her career in a BBC talent programme, and was then discovered at a New York audition by a US record executive, Steve Greenberg"
Prince crowned 'top music earner',"Although she grossed more than Prince last year, Madonna remained in second place because of the ""monumental"" production costs of her tour.He kept Madonna in second place, as she earned $54.9m (£29.5m) while embarking on her global Re-Invention Tour.The singer's 2004 tour took $90.3m (£48.5m) in ticket sales and he sold 1.9 million copies of his latest album Musicology.The singer banked $56.5m (£30.4m) from concerts, album and publishing sales with his Musicology tour and album.Veterans Simon and Garfunkel were in 10th place, their comeback tour helping them earn $24.9m (£13.4m) last year"
Brit awards for Devon music acts,"Devon singer Joss Stone and rock band Muse won coveted Brit awards during the event's 25th anniversary.Seventeen-year-old Stone, from near Cullumpton, won two awards: best British female act, and best urban act out of three award nominations.Muse, whose members met in south Devon, beat Franz Ferdinand, Jamie Cullum, Kasabian and The Libertines for best British live act.After beating Amy Winehouse, Jamelia, Natasha Bedingfield and PJ Harvey to the best British female prize, Joss Stone said: ""I don't know what to say.I don't like doing this at all.The band has sold about two million records worldwide.""I don't even know what to do right now.I'd like to thank my family for being really supportive and everybody that made my record with me."
Rock star sued by ex-girlfriend,"Motley Crue guitarist Mick Mars is being sued by his ex-girlfriend for $10 million (£5.4 million), claiming he broke a promise to take care of her.The woman, Robin Mantooth, said Mars promised her repeatedly that he would provide financial support in the event of the couple breaking up.She is also claiming that Mars, 53, has failed to provide her with any material support since they ceased to be a couple.When they split in December, Mantooth says Mars denied any such agreement.Mars - real name Bob Allen Deal - underwent hip replacement surgery in October"
Scissor Sisters triumph at Brits,"Angels is a great song, but not the best song of the last 25 years.Whilst Angels is a popular song it is not even the best song in Robbie's repertoire never mind best song of the last 25 years.Best song of the last 25 years?Best song in the last 25 years?I think Angels is a great song and deserved to be in the run up for this award but I don't think its the best song from the past 25 years!Robbie Williams' Angels was named the best song of the past 25 years.It's alright for a pop song - but the best song of the last 25 years???Best song in 25 years?Although Angels is a good song I think that anyone with the slightest musical taste will realise that this is not the best song of the last 25 years.A great song yes, but the best of the last 25 years?That's why it has been voted best song of the last 25 years.Angels is without doubt a great song but I really don't think it deserves the title of best song in 25 years.perhaps the vote had more to do with teenage opinion on Robbies' goodlooks than the actual song!!!The best song of the past 25 years?I've nothing against Robbie, I actually like his music, but how can this possibly be the best song from the last 25year?If this is the best song of the last 25 years then the British Music industry is in trouble.The initial list was very weak anyway, but Angels the best song of the last 25 years!!!!But it is no way the best song of the past 25 years!I'm actually embarrassed to be British if that is the best song we have produced in the last 25 years!!Booo hisss  Angels, best song?I very much doubt that 'Angels' was even the best song of the week that it came out.What a load of crap, best song in the last 25 years - I don't think so!!While I am biassed in that I thought Love Will Tear Us Apart should have won, in all seriousness, I think that the best song of the last 25 years should not include songs less than 5 years old as that would exclude songs which are popular because of novelty.Best song in 25 years, you must be joking.Only the best song to be up for nomination at the Brits.Why a half-baked cheesy ditty like Angels, which has become the anthem for millions of romantic sops (think how many times it was sung on Pop Idol for example, and by whom), should be voted the best song of the past 25 years, is beyond me.I am a regular listener to Radio 2 but I don't recall the invitation to vote for this bland, slushy rubbish which might appeal to the masses who wouldn't know a good song if it jumped up and bit them on the nose but is certainly NOT the best song of the last 25 years.There is no way on earth that song should have been voted the best of the last 25 years....it's a travesty.Ok I like Robbie and Angels is a decent song.I think that although Robbie Williams is a good performer, that Angels isn't really that good a song.Angels is a fantastic song.Yes Angels is the best song since the past 25 years, because it touches the soul as it carries a lot of meaning.""Angels"" isn't a bad song.Personally I find Angels by Robbie Williams to be one of the most irritating songs I have ever heard!Best of the last 25 years?I am a huge Robbie fan and love that song.Think of all the great rock and pop songs released in the 80s and pretty much all of them are better than Angels.There must be more than a dozen songs in the last 25 years that deserve this award more.I think the person as opposed to the song has been voted for here.There must be a thousand better songs than a formulated cheesy pop song for kids.Williams' track beat songs by Will Young, Queen, Kate Bush and Joy Division in a vote by BBC Radio 2 listeners to mark 25 years of the UK music industry ceremony.But I think there are a lot more outstanding songs / music out there that influenced music today, unfortunately they were left out of the list.A sad day for music  It's not the type of music I normally like, but even as a diehard rock fan, I recognise that it is a good song and appelas to most people.Angels is an overrated song, that got tiresome even before you had finished listening to it.The success of Angels at this years Brits reflects poorly on the state of British music over the last 25 years.It is a song that has united the generations and will continue to be played for many years to come.McFly won the best pop act prize, and Gwen Stefani picked up the best international female artist award.I find it hard to believe that 'Angels' is the best we have to show for the past 25 years!The flamboyant act scored a hat-trick in the international categories, winning the best group, best album and best newcomer awards.What about all the REAL artists out there over the last 25 years - the list is endless, but Robbie Williams doesn't even come close.It should have been Joy Division.Those guys have played an influential part in shaping modern day music while Angels remains yet another pop song.it's a terrible song, voted for by the masses who don't have the brains to appreciate innovative and exciting music.Little Britain comedy duo Matt Lucas and David Walliams presented the best song prize to Robbie Williams dressed as his former Take That colleagues Gary Barlow and Howard Donald, leading him to quip he was ""always the talented man of the band"".Some people will adopt their slightly snobby stances, but Angels has hit home with a far larger audience than any other song.The song is overplayed and oversentimental.Granted angels is a good song, however it really wasn't up against any other proper competition.Right enough, it is better than some of the others in this catergory, for example, what was Will Young doing being nominated in the first place - he is alright but the song isn't that good!There were other great songs in the category... but somebody had to win!Much better songs and more timeless.Phil Collins doesn't deserve awards for all the good songs he wrote?Also, why weren't the Stones there, David Bowie, etc, there are so many greater songs than Angels...I wonder if it was simply the fact that Robbie wasn't getting more awards so they had to make one up for him!The US band, who opened the show with Take Your Mama, won the best international act and newcomer awards, as well as best international album.Franz Ferdinand, who were shortlisted in five categories, won best rock act and best British group, an award they dedicated to late DJ John Peel.It's a mediocre, sentimental and safe song.Keane won best British album and breakthrough act.If this is the song against which all others are judged, then musicians may as well give up.Natasha Bedingfield - in the running for best British female and best pop act - performed with her brother Daniel for the first time at Wednesday's event.A band who, through two albums, have had a bigger impact on music, and continue to do so, over the last 25 years than Robbie Williams ever will.Soppy rubbish at best.It just goes to show that the british public do not have a clue about good quality music when they pick Robbie Williams over the beautifully talented Kate Bush and Joy Division.That song has become such a bane to me that I have developed a Pavlovian response to the word 'Angels' where I thrash around, and scream ""no no no no no"" until someone tells me ""the radio's off"".It seems obvious to me that people who like Robbie are people who don't particularly like music all that much.The song makes me calm and serene and happy.The Queen's song was lackluster, and apart from Kate Bush, the other choices were pathetic!Will Young won the best single prize for Your Game.Robbie has millions of loyal fans, while even non-fans know the words to angels.If you voted for it - you should feel ashamed of yourself - you probably only know a dozen songs or so don't you - so where do get off applying this uninformed filter and casting this ridiculous vote.I think its a brilliantly written song with different meanings to different people.Viewers of digital music TV channel MTV Base voted Stone the winner in the best urban act category.I'm rapidly redifining 'best' in my own head now to mean 'most gratuitously played at weddings and funerals because people think it has deep meaning'.There's not a song done by anyone with more emotion and feeling.Sure Robbie is talented and produces excellent material, but this is not the best record.It's a song that will be played forever and bridges all age groups.They weren't cool at the time, but because they are cool again now shows that the songs have greater longevity than people think.Robbie was a deserved winner.Why must 'best' always come down to most commercially popular?Just like Robbie.After beating Amy Winehouse, Jamelia, Natasha Bedingfield and PJ Harvey to the best British female prize, Joss Stone said: ""I don't know what to say.Glasgow group Franz Ferdinand won two prizes, as did Keane and Joss Stone, who was voted best urban act by digital TV viewers.Best British male artist winner Mike Skinner - aka The Streets - does not usually attend award ceremonies, but the Birmingham hip-hop artist performed his hit Dry Your Eyes at the ceremony.Whenever the song comes on the radio I turn the radio up, smile and sing along (very badly, that is why the radio has to be turned up to drown my voice out).Then again, well done Robbie, good show.But they missed out on best British live act, which went to Muse.Whenever we have these awards it is always 'artists' from the past five years that seem to win the best of the best...We forget about the late 80s and early 90s for example"
Jamelia's return to the top,"It was her next single, Superstar, that really put her back on the map as one of Britain's most popular female R&B singers, holding her own in a music scene dominated by US artists such as Beyonce and Ashanti.The Birmingham-born singer, full name Jamelia Davis, was signed to a record label at the age of 15 and released her first single So High at 18.His involvement with the song meant not only was it given massive publicity but it was also greeted favourably by a new audience who would not usually listen to R&B.She released four number ones from her 2000 album Drama, including the top five hit Money featuring the vocals of reggae artist Beenie Man.Superstar was followed by Thank You, winner of best single at the 2004 Mobos, which reached number two in the UK charts.During her absence R&B music exploded and a whole host of female artists were on the scene, meaning Jamelia had to once again prove herself.While she originally planned to get back to work pretty swiftly after giving birth it was actually two years before she released another single.R&B star Jamelia had three Brit nominations to go with her triple triumph at last year's Mobo awards"
Cult band Kasabian surge forward,"""British music needs a kick up the arse and Britain needs a new band to breathe life into the British people again,"" declared Kasabian's singer Tom Meighan.Meighan grew up in Leicester with Kasabian songwriter/guitarist Sergio Pizzorno and bassist Chris Edwards, a trio which began making music from the age of 17.But music needs us as well.""""We take our music seriously, definitely, but we want to have fun with it,"" said Pizzorno.Indie dance band Kasabian built up a cult following throughout 2004 to secure three Brit Award nominations.The four-piece Leicester band blends dark electronics with rock, earning Kasabian places on the best British group, rock act and live act shortlists.Kasabian moved into a remote farmhouse in Rutland to record their debut album, benefiting from its isolation but also managing to sneak in a few parties while they were there.""We saw his long sideburns and thought 'hey, he looks the part, we'll ask him,'"" said Meighan.""We got a computer and we cut rock'n'roll up, because there's no point in going back to how it was,"" said Meighan.""This is not a job to us,"" added Meighan.Signed to the RCA record label, Kasabian tested the water with two singles, Club Foot and LSF, which reached numbers 19 and 10 in the UK singles chart respectively"
Brits debate over 'urban' music,"And so what of ""Urban"" music?Urban is a nonsense term - music of black origin?""Urban"" seems to be the new name for all styles of black music.If there is some sort of root with black music or dance music in Britain, I think that's where you can call it urban - that's where this new sub-category, or uber-category, has come from.Stop puting it all in brackets and let's just call it music, and let's especially drop the black / urban tag - nearly all music came from black origin, this just sets an example that it is ok to pigeonhole people and their music by their colour.We are urban music as far as I'm concerned.Urban is PC version for saying black music.If Joss Stone can be accepted within the urban music community, I think acts from other ethnicities doing classical music and rock should be accepted too.They are both 10 times better than Joss Stone and both of them have won Urban Music Awards and i think Mobos , but why not Brits????Surely the point of having an urban music category is simply to acknowledge artists that are making what is (historically) considered urban music, irrelevent of the colour of their skin, or where they originate from.Her victory has reignited the debate about what urban music is.She makes soul music and that definitely comes under the category of what we describe as urban.Her music is great soul and surely that is under the 'Urban' banner?Excluding her from what has become known as urban music would be as bad as excluding Lenny Kravitz or Hendrix from rock music for being black surely?She did deserve it, but I agree with the comments about urban music.Joss Stone is simply singing a certain type of music that can be considered urban in style, just as someone from an inner city, and indeed not from the USA could sing country music.I don't feel like urban music's just been celebrated by [Joss Stone] winning or her being nominated, or by the Brits acknowledging that there's an urban music scene because it's all a kick in the teeth at the end of the day.It's music, you like it or you don't.The word urban seems to cover such a broad range of black music that it's wrong.A type of music (especially street music) that originates from a city, and typically reflects or is characteristic of urban life.The great thing about urban music is that there's a big range.Urban is just a word that's come about recently to describe ""black"" music that's become popular now.Black people should lead the music they invented .Ever since the music channels and record comapnies tried to fracture what they consider 'music of black origin', these labels have been used to undermine the status of good music into a commodity.Look at all the TV broadcasters, unable to reach young people without condesending, they simply play some 'urban' music on the soundtrack as if its some dreadful cheap lift music.You have said it: there is music you like and music you don't like - who cares what label you put on it?The real question is would Joss Stone would have been that successful doing the music she was doing if she were black?The very term 'Music of Black Origin' has confused and offended many people.What urban means to us as an organisation is the politically correct term to describe music which originated from a black background.So what if Joss Stone won the Urban awards.All this ""urban"" and other such categorisation is just the red-tape of the music business and is best ignored.The music industry isn't championing music from our particular genre very well anyway.The term 'urban' therefore, has been invoked to sidestep the debate of which type of music came first 'black' or 'white' thereby rendering the issue colourblind.It appears that the use of 'black' or 'white' in relation to music makes people feel uncomfortable.If anyone deserves to win an award for urban music (I think probably should include Hip-Hop, Soul & Funk at least but not rock or pop) this year its the Streets, although Dizzee Rascal stakes a good claim  She definitely deserved to win a prize, Joss Stone's albums are quite simply amazing, easily better than anything else that was released last year.The term urban in reference to a music genre in UK has developed, in part, from the controversy surrounding the branding of the MOBO Awards.Joss Stone deserved to win an award for her talents, but I don't think it was very 'urban' of her to sing angels with Robbie Williams.How far are the Brits removed from inner-city music and what people are doing?It's a word that's been manufactured in this country and America to describe black music.Joss Stone, a 17-year-old soul singer from Devon, beat Dizzee Rascal, Jamelia, Lemar and The Streets to win best British urban act at the Brit Awards.If we just let the music speak for itself and not judge the success of an artist by the number of awards won, then maybe we can enjoy the music for what it is, rather than what it represents.This whole debate about what is urban, what isnt urban is completely pointless and probably fueled by urban artists who weren't nominated or didn't win.In truth it's a lazy term to categorise music that you don't really understand.If people want to call it urban, why not?Ignore the labels, it is what it is, just music.Why does music have to be put into a genre?Music made in the inner cities?Whilst I agree that the term 'urban' is open to interpretation, it strikes me as simply weird that Joss Stone has won.So, what you're saying is that any music that has black heritage is not allowed to be sung by anyone who isn't black.I love Joss to bits and don't care what her branding is - it's amazing music, full stop.If Lemar, who makes music which is less soulful than Joss' work won, he might have said nothing.I'm not really comfortable with the word urban.This is particularly strange given the existence of the Asian Music Awards.There's only two kinds of music: good and bad.I demand a prize for rural music!Urban as a genre is very broad"
Row threatens Hendrix museum plan,"Janie Hendrix, the guitarist's stepsister, said the family were still hoping the guitarist would be honoured by having a road named after him.The foundation moved the building, in which Al Hendrix lived between 1953 and 1956, when the land it was built on was to be developed for housing in 2002.Mr Goldman said the authority had promised the house could remain on its new site and be turned into a memorial and community centre.""The mayor is going to go down as the mayor who destroyed Jimi Hendrix's house,"" said Ray Rae Marshall of the James Marshall Hendrix Foundation.Hendrix was widely considered one of the most important guitarists of his time.Hendrix supporters hoped to turn the home into a museum for the guitarist.Now Mr Goldman is calling for the authority to pay to move the building to Seattle's central district, where Hendrix grew up.Seattle officials said no such deal had been offered"
