headlines,text
The 'ticking budget' facing the US,"Brute force budget cuts or spending caps would ill-serve the nation's elderly and indigent.News coverage of the Bush budget will be dominated by debates about spending cuts, but the fact is these will be large cuts in small programs.Without major changes in current policies and political prejudices, the federal budget simply cannot hold together.The budget proposals laid out by the administration of US President George W Bush are highly controversial.Federal revenues are at 1950s levels, while spending remains where it has been in recent decades - much higher.Indeed, if Congress were rash enough to balance the budget in this way, there would hardly be any such spending left.The US Government cannot finance its operations without heavy borrowing from the central banks of Japan and China, among other nations.One thing is certain - destroying the budget in order to save it is not going to equip the US economy and government for the challenges of this new century.This upward trend will force increased borrowing by the federal government, putting upward pressure on interest rates faced by consumers and business.Reducing domestic spending, or eliminating ""waste, fraud and abuse"" is toothless because this slice of the budget is too small to solve the problem.The biggest spending growth areas are defence (including homeland security), and health care for the elderly and the poor.Savings in health care spending that do not come at the expense of health can only be achieved with wholesale reform of the entire system, public and private.Even now, a growing share of US borrowing is from abroad.US politicians and citizens of all political persuasions are in for a dose of shock therapy.Under direct threat will be the federal government's ability to make good on its debts to the Social Security Trust Fund.By definition, the deficit means too little revenue and too much spending - but this neutral description doesn't adequately capture the current situation.The trigger for the coming shock will be rising federal debt, which will grow in 10 years, by conservative estimates, to more than half the nation's total annual output.From the standpoint of the big fiscal trends, the cuts are gratuitous and the big budget train wreck is yet to come.The US population is aging, and the nation does face genuine threats in the world.There will be no need for constitutional amendments to balance the budget"
Ebbers 'aware' of WorldCom fraud,"Mr Sullivan is at the centre of the government's case against Mr Ebbers.However, on Monday Mr Sullivan named Mr Ebbers as one of five executives who participated in the accounting fraud.Mr Sullivan, WorldCom's former number two, is the government's chief witness in its case against Mr Ebbers.Mr Sullivan, 42, pleaded guilty to fraud last year and agreed to assist the government with its case against Mr Ebbers.Mr Ebbers has denied all the charges, saying he was unaware of the fraud.Prosecutors have alleged that Mr Ebbers, 63, directed Mr Sullivan to hide the true state of the company's finances by providing false information to the firm's accountants.Mr Ebbers has denied multiple charges of conspiracy and fraud.""He [Ebbers] has got a hands-on grasp of financial information,"" Mr Sullivan told a New York court.Mr Sullivan said his former boss knew more about accounting matters than many chief financial officers and described him as ""detail-oriented"""
Renault boss hails 'great year',"Strong sales outside western Europe helped Renault boost its profits by more than 40% in 2004 although the firm warned of lower margins this year.Chairman Louis Schweitzer said 2004 had been a ""great year"" for the firm.Renault said the outlook for the industry in Europe this year was ""stable"", with small growth forecast in other regions.The firm said strong demand outside western Europe and the good performance of its Megane range lifted its results.Japanese carmaker Nissan - in which Renault owns a 44% stake - contributed 1.7bn euros in net income over the year.In total, sales outside western Europe - Renault's core market - rose 16.5%"
Survey confirms property slowdown,"House prices were 11.8% higher on the year in the last quarter of 2004, down from 16.3% in the July-to-September quarter, the Land Registry said.The biggest annual gains were made in Wales, where house prices were up by 23% in the fourth quarter.After registering falls at the back end of 2004, Halifax said house prices rose by 0.8% in January and Nationwide reported a rise of 0.4% in the first month of the year.However, the figures are viewed as the most accurate measure of house prices as they include all property transactions, including cash sales.The average house price in England and Wales was £182,920, down from £187,971 in July-September.House prices rose the slowest in Greater London, being up by 6%"
Bush budget seeks deep cutbacks,"President Bush has presented his 2006 budget, cutting domestic spending in a bid to lower a record deficit projected to peak at $427bn (£230bn) this year.Yet Mr Bush's proposed spending of $3bn on that project is well below his initial promise of $5bn.Military spending is also set to rise by 4.8%, to reach $419.3bn.The budget does not include the cost of running military operations in Iraq and Afghanistan, for which the administration is expected to seek an extra $80bn from Congress later this year.The state department's planned budget would rise to just under $23bn - a fraction of the defence department's request - including almost $6bn to assist US allies in the ""war on terror"".""In order to sustain our economic expansion, we must continue pro-growth policies and enforce even greater spending restraint across federal government,"" Mr Bush said in his budget message to Congress.Mr Bush has promised to halve the US's massive budget deficit within five years.But the budget is still the tightest yet under Mr Bush's presidency.The deficit, partly the result of massive tax cuts early in Mr Bush's presidency, has been a key factor in pushing the US dollar lower.The spending plan for the year beginning 1 October is banking on a healthy US economy to boost government income by 6.1% to $2.18 trillion.The $2.58 trillion (£1.38 trillion) budget submitted to Congress affects 150 domestic programmes from farming to the environment, education and health"
Profits stall at China's Lenovo,"But Western firms such as Dell and Hewlett-Packard are also mounting a more solid fight for market share in China, and Lenovo's sales were down 3.7% by revenue to HK$6.31bn.The firm is in the international spotlight after last year signing a deal to buy the PC division of personal computer pioneer IBM.Lenovo's profit for the three months to December was HK$327m (US$42m; £22m), less than 1% up on the year before.The company is still by far the biggest player in China, with more than a quarter of the market.But investors have been less than impressed with Lenovo's move, designed to take it out of China and further onto the world stage.In any case, margins in PC market are now wafer thin, and profits have been hard to come by for most vendors except direct-sales giant Dell"
MCI shares climb on takeover bid,"Shares in US phone company MCI have risen on speculation that it is in takeover talks.The Wall Street Journal reported on Thursday that Qwest has bid $6.3bn (£3.4bn) for MCI.Shares in MCI, which changed its name from Worldcom when it emerged from bankruptcy, were up 2.4% at $20.15.Competition has intensified and fixed-line phone providers such as MCI and AT&T have seen themselves overtaken by rivals.Buying MCI would give Qwest, a local phone service provider, access to MCI's global network and business-based subscribers.The largest US telephone company Verizon has previously held preliminary merger discussions with MCI, Reuters quoted sources as saying.Other firms have also expressed an interest in MCI, the second-largest US long-distance phone firm, and may now table rival bids, analysts said"
BT offers equal access to rivals,"""Central to the proposals are plans by BT to offer operators lower wholesale prices, faster broadband services and transparent, highly-regulated access to BT's local network,"" the former monopoly said in a statement.""This is a reminder to Ofcom that as long as BT can change the dynamics of the whole broadband market at will, the process of opening up the UK's local telephone network to infrastructure investment and competition remains fragile,"" a spokesman said.""The United Kingdom has the opportunity to create the most exciting and innovative telecoms market in the world,"" BT chief executive Ben Verwaayen said.""BT has a critical role to play, and today we are making a set of far-reaching proposals towards that framework,"" he said.The move comes after telecom regulator Ofcom said in November that the firm must offer competitors ""real equality of access to its phone lines"".BT has moved to pre-empt a possible break-up of its business by offering to cut wholesale broadband prices and open its network to rivals.""I think it's the first productive thing we've had from BT,"" he said.To meet the growing demand for greater bandwidth, BT said it would begin trials in April with a view to launching higher-speed services nationally from the autumn.""The big question now is whether the industry, and particularly Ofcom feels BT's proposals go far enough ...Now the real negotiation begins,"" director of telecoms research Tony Lavender said.""BT has been challenged to play fair and its plans will introduce a level playing field.The scenario now is how well people execute their business plans as a service provider,"" chief executive Lee Strafford said"
Jobs growth still slow in the US,"The job gains mean that President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.Analysts said the growth in new jobs was not as strong as could be expected given the favourable economic conditions.The Labor Department also said it had revised down the jobs gains in December 2004, from 157,000 to 133,000.The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.""The economy is producing a moderate but not a satisfying amount of job growth,"" said Ken Mayland, president of ClearView Economics.He presided over a net fall in jobs up to last November's Presidential election - the first President to do so since Herbert Hoover"
News Corp eyes video games market,"According to the Financial Times, chief operating officer Peter Chernin said that News Corp is ""kicking the tyres of pretty much all video games companies"".Video games are ""big business"", the paper quoted Mr Chernin as saying.News Corp, the media company controlled by Australian billionaire Rupert Murdoch, is eyeing a move into the video games market.France's Ubisoft, one of Europe's biggest video game publishers, has been trying to remain independent since Electronic Arts announced plans to buy 19.9% of the firm.And with their price tags reflecting the heavy investment by development companies, video games are proving almost as profitable as they are fun.The success of products such as Sony's Playstation, Microsoft's X-Box and Nintendo's Game Cube have boosted demand for video games.""We are struggling with the gap between companies like Electronic Arts (EA), which comes with a high price tag, and the next tier of companies,"" he explained during a conference in Phoenix, Arizona"
Call to overhaul UK state pension,"The UK pension system has been branded inadequate and too complex by a leading retirement think-tank.The think tank's proposals were made in response to the recent publication of the Pensions Commission's initial report into UK retirement savings.The report added that a combination of higher taxes, higher savings and/or a higher average retirement age was needed to solve the UK pension crisis.According to the Pensions Commission's report 12 million working people are not saving enough for their retirement"
Singapore growth at 8.1% in 2004,"However, a slower-than-expected fourth quarter points to more modest growth for the trade-driven economy in 2005 as global technology demand falls back.The economy's poor performance in the July to September period followed four consecutive quarters of double-digit growth as Singapore bounced back strongly from the effects of the deadly Sars virus in 2003.The advance, the second-fastest in Asia after China, was led by growth of 13.1% in the key manufacturing sector.""I am surprised at the weak fourth quarter number.That was up from the third quarter, when it fell 3.0%, but was well below analyst forecasts"
Turkey knocks six zeros off lira,"""The transition to the new Turkish lira shows clearly that our economy has broken the vicious circle that it was imprisoned in for long years,"" said Sureyya Serdengecti, head of the Turkish Central Bank.The Turkish economy teetered on the brink of collapse in 2001 when the lira plunged in value and two million people lost their jobs.""The new lira is also the symbol of the stable economy that we dreamed of for long years.""Turkey is to relaunch its currency on Saturday, knocking six zeros off the lira in the hope of boosting trade and powering its growing economy.The currency - officially to be known as the new lira - will be launched at midnight on 1 January.""The Turkish lira has been like funny money,"" Tevfik Aksoy, chief Turkish economist for Deutsche Bank, told Associated Press.From that point, the one-million lira note will become the new one-lira coin.""If a person has 10 billion lira in investments this will suddenly decrease,"" shop owner Hayriye Evren, told Associated Press.The change will see the end of such dizzyingly-high denominations as five million lira - enough for a short taxi ride - and the 20m note, worth $15"
S Korea spending boost to economy,"""The focus will be on job creation and economic recovery, given that unfavourable domestic and global conditions are likely to dog the Korean economy in 2005,"" the ministry said.""Given the economic spill over and employment effect in the construction sector, a sharp downturn in the construction industry could have other adverse effects,"" the ministry said.""Internal and external economic conditions are likely to remain unfavourable in 2005,"" the Finance and Economy Ministry said in a statement.In 2004, growth will be between 4.7% and 4.8%, the ministry said.South Korea will boost state spending next year in an effort to create jobs and kick start its sputtering economy.The government has set an economic growth rate target of 5% for next year and hinted that would be in danger unless it took action.As a result, South Korea will give private companies also will be given the chance to build schools, hospitals, houses and other public buildings.As part of its spending plans, the government said it will ask firms to ""roll over mortgage loans that come due in the first half of 2005"" "
Latin America sees strong growth,"The United Nations' Economic Commission for Latin America and the Caribbean said the region grew by 5.5% this year.ECLAC also said that the six largest Latin American economies (Argentina, Brazil, Chile, Colombia, Mexico and Venezuela) grew by more than 3% for only the second time in 20 years.Latin America's economy grew by 5.5% in 2004, its best performance since 1980, while exports registered their best performance in two decades.In fact, Latin American exports to China grew 34%, to $14bn.Chinese and US economic strength helped boost exports, as did strong demand for agricultural and mining products"
Asia shares defy post-quake gloom,"In the Maldives the cost of reconstruction could wipe out economic growth, according to a government spokesman.""Our nation is in peril here,"" said Ahmed Shaheed, the chief government spokesman.Expectations of strong corporate earnings in 2005 drove the Indonesian stock exchange in Jakarta to a record high on Wednesday.In Sri Lanka, some economists have said that as much as 1% of annual growth may be lost.Indonesian, Indian and Hong Kong stock markets reached record highs.""It won't be surprising if the cost exceeds our GDP,"" he said.Shaheed noted that investment in a single tourist resort - the economic mainstay - could run to $40m.He estimated the economic cost of the disaster at hundreds of millions of dollars.Thailand may lose 30bn baht (£398m; $768m) in earnings from tourism over the next three months, according to tourism minister Sontaya Kunplome.""Calculators will have to wait,"" said an IMF official in a briefing on Wednesday.However, many experts, including the World Bank, have pointed out that it is still difficult to assess the magnitude of the disaster and its likely economic impact"
Booming markets shed few tears,"Stock markets in Indonesia and India have hit all-time highs this week; even in Sri Lanka, more comprehensively affected, the main index has lost only 5% since the waves hit.Second, stock markets do not trade the sort of companies likely to have been damaged.The MSCI World share index, a measure of global stock market performance, hit its highest level this week since early 2001; the BBC Global 30 has risen by 3% in the past week.Even the costliest natural disaster is rendered minuscule by the global capital market - currently $30 trillion and rising.And where insurance certainly is in place - in, for example, the many tourist complexes affected - the costs will be borne in far-away corners of the global reinsurance market, rather than landing locally.The trillion-dollar debts of Japan's banks, for example, have had no effect on stock markets further afield than Tokyo.But disasters have a vast psychological impact, and markets are driven by psychological factors.In fact, the markets are being perfectly rational.And indeed, stock exchange traders around Asia have wasted little time regretting the victims of this week's disaster.Asian stock markets are heavily inclined towards property and construction companies, many of which will be rubbing their hands over the reconstruction opportunities.A study of the 1993 Des Moines floods, from the Disaster Research Center at the University of Delaware*, found that 70% of local businesses were no worse off after the disaster, and another 18% felt themselves better off.Bigger markets further afield have barely twitched.And the US stock market was on its way down long before 11 September, 2001; it rose by 20% during the six months following the attacks.For a start, the notional insurance cost of the disaster will have little bearing on corporate bottom lines"
Asian quake hits European shares,"The unfolding scale of the disaster in south Asia had little immediate impact on US shares, however.But the disaster has little impact on stock markets in the US and Asia.Shares in Munich Re and Swiss Re - the world's two biggest reinsurers - both fell 1.7% as the market speculated about the cost of rebuilding in Asia.In India, where more than 2,000 people are thought to have died, the rupee shed 0.1% against the dollar Analysts said that it was difficult to predict the total cost of the disaster and warned that share prices and currencies would come under increasing pressure as the bills mounted.Shares in Europe's leading reinsurers and travel firms have fallen as the scale of the damage wrought by tsunamis across south Asia has become apparent.The Thai baht lost 0.3% against the US currency, trading at 39.10.Shares fell just 0.03%.Investors pointed out, however, that declines probably would be industry specific, with the travel and insurance firms hit hardest.However, the overall impact on Asia's largest stock market, Japan's Nikkei, was slight.Reisurance firms such as Swiss Re and Munich Re lost value as investors worried about rebuilding costs.Travel companies also took a hit, with Japan's Kinki Nippon sliding 1.5% and HIS dropping 3.3%.Insurers and reinsurance firms were also under pressure in Europe.Germany's benchmark Dax index closed the day 16.29 points lower at 3.817.69 while France's Cac index of leading shares fell 5.07 points to 3.817.69.Travel-related shares dropped in Europe, with companies such as Germany's TUI and Lufthansa and France's Club Mediterranne sliding"
Split-caps pay £194m compensation,"Eighteen investment firms involved in the sale of the investments agreed the compensation package with the Financial Services Authority (FSA).Investors in these two firms may now have to take any compensation claim to the Financial Ombudsman Service or the courts.Any investor accepting the compensation will have to waive the right to take their case to the Financial Ombudsman Service.Agreeing to pay compensation did not mean that the eighteen firms involved were admitting any guilt, the FSA added.In May, the FSA was widely reported as having asked firms to pay up to £350m in compensation.Further details of how investors will be able to claim their share of the compensation package will be announced in the new year.""This should save investors from having to take their case to the Financial Ombudsman Service, something, no doubt, that will be very welcome,"" Rob McIvor, FSA spokesman, told BBC News"
French suitor holds LSE meeting,"European stock market Euronext has met with the London Stock Exchange (LSE) amid speculation that it may be ready to launch a cash bid.Euronext, so far, has given little away as to what sweeteners it will offer the LSE - Europe's biggest equity market - into a deal.Deutsche Boerse previously offered £1.3bn, which was rejected by the LSE, while Euronext is rumoured to have facilities in place to fund a £1.4bn cash bid.Euronext chief Jean-Francois Theodore held talks with LSE boss Clara Furse the day after rival Deutsche Boerse put forward its own bid case.Commentators believe Deutsche Boerse, which has now formally asked German authorities to approve its plan to buy the LSE, may offer to sell Clearstream to gain shareholder approval.There was speculation Euronext would use Friday's meeting as an opportunity to take advantage of growing disquiet over Deutsche Boerse's own plans for dominance over the London market.Meanwhile, LSE shareholders fear that Deutsche Boerse's control over its Clearstream unit - the clearing house that processes securities transactions - would create a monopoly situation.Unions for Deutsche Boerse staff in Frankfurt has reportedly expressed fears that up to 300 jobs would be moved to London if the takeover is successful"
Troubled Marsh under SEC scrutiny,"The US stock market regulator is investigating troubled insurance broker Marsh & McLennan's shareholder transactions, the firm has said.Marsh has said it is co-operating fully with the SEC investigation.Marsh is also the focus of an inquiry the New York attorney-general into whether insurers rigged the market.Since that inquiry was launched in October, Marsh has replaced its chief executive and held a boardroom shake-out to meet criticism by lessening the number of company executives on the board.Prosecutors allege that Marsh - the world's biggest insurance broker - and other US insurance firms may have fixed bids for corporate cover.The uncertainty unleashed by the scandal has prompted three credit rating agencies - Standard & Poor's, Moody's and Fitch - to downgrade Marsh in recent weeks"
Could Yukos be a blessing in disguise?,"But it argues that more rigorous tax policing has benefited all Russian firms, even targets of the tax police.The calculations demonstrated what many Russian analysts already knew: that increasing the tax rate increases the amount that managers steal, since undeclared income becomes relatively more valuable.The net result, the authors say, is that the extra amount companies pay in tax is more than compensated for by greater efficiency and financial soundness.Since then, the Russian stock market has more than trebled in value, a rise the authors attribute at least in part to the newly tough approach.The report highlights the case of Sibneft, a Russian oil company that came close to merging with Yukos last year.""An increase in tax enforcement can increase the amount [of dividends and other income] outside shareholders will receive, even accounting for increased levels of taxation,"" the authors say.According to the authors, although a variety of changes were sweeping through Russian industry at the time, the increase in tax enforcement is the only likely explanation for the change of fortunes at Sibneft and many of its peers.Genuine, disinterested tax collection might well work wonders in Russia; the problem with recent examples has been the erratic and unpredictable way laws are enforced.And the authors' definition of tax enforcement seems unrealistically Western.The paper's reasoning is complex, and is based on a sophisticated model of the relationship between tax regimes and corporate governance - in particular, the propensity of management to steal from the company.On the other hand, increasing the rigour with which taxes are collected encourages companies to become more transparent, forcing them to be able to demonstrate their financial position far more accurately.For all its faults, corporate Russia has become far more orderly and law-abiding since 2000"
Nasdaq planning $100m share sale,"The owner of the technology-dominated Nasdaq stock index plans to sell shares to the public and list itself on the market it operates.The Nasdaq is made up shares in technology firms and other companies with high growth potential.Nasdaq will not make money from the sale, only investors who bought shares in the private placings, the filing documents said.According to a registration document filed with the Securities and Exchange Commission, Nasdaq Stock Market plans to raise $100m (£52m) from the sale"
Giving financial gifts to children,"Therefore, it may be preferable for parents to contribute to the Child Trust Fund which is tax free, with any gifts from relatives that take the total above the annual £1,200 limit being directed to a deposit account.As the Child Trust Fund will not be in force in time for Christmas, relatives could invest their gifts in a higher rate children's deposit account, and use this as a feeder fund.If the account holds money gifted by friends and relatives - but not parents - any interest earned from the savings account may be set against the allowance.Where both parents and other relatives are saving on behalf of a child, consideration should be given to opening separate accounts - one for parents' gifts and one for gifts from other relatives.Interest earned by children is subject to income tax.The tax rules are different for parents who save on behalf of a child.There are accounts designed to start children off in the savings habit and they often pay a higher rate of interest.The only drawback with all financial gifts is that the children gain an absolute right to the money at age 18, and parents will have no control over how it is spent.This confirms that the account holder is a non-taxpayer and allows interest to be received without the deduction of income tax.The government is trying to encourage saving at an early age, through its new Child Trust Fund.Parents and relatives will be able to top up the fund with up to £1,200 a year, which will grow free of income and capital gains tax.Only £100 of interest (per parent) can be tax-free.It may encourage children to save or start a fund which could count towards university costs, for example.Where interest exceeds this level, the whole of the interest will be taxed on the parent.This is to prevent parents from holding their own cash savings in their children's names and taking advantage of the tax allowances.The parent or guardian will be responsible for the Bonds and will receive notification of the purchase"
Air China in $1bn London listing,"Merrill Lynch are sole bookrunners for Air China's flotation, which will take the form of a share placing with institutional investors in London, though retail investors may be able to buy Air China shares in Hong Kong.""We are delighted that Air China has chosen London for its listing outside China,"" said LSE chief executive Clara Furse.Air China's primary listing will be in Hong Kong, with a secondary listing in London.China's national airline is to make its overseas stock market debut with a dual listing in London and Hong Kong, the London Stock Exchange (LSE) has said.Air China's long-awaited flotation is part of a strategy to modernise a dozen state-owned carriers, which have been reorganised into three groups under Air China, China Southern and China Eastern.A spokesman for the LSE said: ""We've been engaged with them (Air China) for about 18 months, two years now.""Air China plans to raise $1bn (£514m) from the flotation.The shares will be denominated in Hong Kong dollars"
Oil prices reach three-month low,"Oil prices have fallen heavily for a second day, closing at three-month lows after news that US crude stocks have improved ahead of winter.The falls were triggered when the Energy Information Administration (EIA) said on Wednesday that US crude stocks were 3.5% higher than a year ago.However, some analysts believe the sharp fall in crude prices may harden Opec's attitude to over-production, leading to a scaling back of oil output.Weak US fuel and heating oil stocks have been a persistent factor in pushing up oil prices.Opec nations have increased production to 25-year highs to meet global demand and this has helped rebuild US stocks hit by supply disruptions after Hurricane Ivan in September.The price of crude is still up about 30% on the start of 2004, but has fallen from the record of $55.67 set in late October.The price of both benchmark crudes has dropped 12% in two days.Analysts also attributed the fall to mild early-winter weather, which has tempered demand for heating oil.The long-awaited drop in oil prices helped to ease persistent investor jitters over the impact of energy costs on company profits and economic growth.Analysts, however, say prices will fall further if inventories continue to rise.However, traders warned that the fall could be short-lived if there is a cold snap in North America this winter or any major supply problems in other parts of the world"
Arsenal 'may seek full share listing',"Speaking at the Soccerex football business forum in Dubai, he said a full listing was ""one of the options"" for funding after the club moves to its new stadium.Arsenal vice-chairman David Dein has said the club may consider seeking a full listing for its shares on the London Stock Exchange.The club - which is currently listed on the smaller Ofex share exchange - is due to move into its new 60,000-seater Emirates Stadium at Ashburton Grove for the start of the 2006/07 season.The club is hoping to increase matchday earnings from 29% to 40% of turnover, and has not ruled out other money-earning means, including a full share listing.""When the new stadium opens we will go through a thorough financial review,"" Mr Dein said.When Arsenal moves to its new stadium it will see its proportion of turnover from media earnings drop from 52% this season to 34% in two years' time.The club is funding its move to Ashburton Grove through a number of sources, including debt from banks, from money it already has and will receive in coming years from sponsors, and from the sale of surplus property, including its Highbury Stadium.Mr Dein also warned the current level of TV coverage of the Premiership may be reaching saturation level, with signs that match attendances have been dropping off in the first few months of this season"
Markets signal Brazilian recovery,"Investors have praised his handling of the economy as foreign investment has risen, unemployment has fallen and inflation has been brought under control.The Brazilian stock market has risen to a record high as investors display growing confidence in the durability of the country's economic recovery.However, Mr da Silva has stuck to an orthodox monetary policy inherited from his predecessor even in the face of last year's economic crisis.President da Silva has defended his policies, arguing that Brazil cannot afford to continue the cycle of boom and bust which afflicted it in recent decades.Economic output declined 0.2% in 2003 and President Luiz Inacio Lula da Silva - elected as Brazil's first working-class president in 2002 - was strongly criticised for pursuing a hardline economic policy.Analysts believe the stock market will rise above the 25,000 mark for the first time before too long.Although interest rates still stand at a punitive 17.25%, inflation has fallen from 9% to 7% while exports are booming, particularly of agricultural products"
Markets fall on weak dollar fears,"And Mr Greenspan warned Asian states could soon stop funding the US deficit.And Mr Greenspan said that could turn into a trend, if the fall of the dollar kept eating into the value of those investments.The slide comes as the US has been attempting to talk up the traditional ""strong dollar"" policy.""It seems persuasive that, given the size of the US current account deficit, a diminished appetite for adding to dollar balances must occur at some point,"" he said.For the US government, letting the dollar drift is a useful short-term fix.Rising oil prices and the sinking dollar hit shares on Monday after a finance ministers' meeting and stern words from Fed chief Alan Greenspan.G20 finance ministers said nothing about supporting the dollar, whose slide could further jeopardise growth in Japan and Europe.At present, much of gap in both public debt is covered by selling bonds to Asian states such as Japan and China, since the dollar is seen as the world's reserve currency.Similarly, Asian investment helps bridge the gap in the current account - the deficit between what the US as a whole spends and what it earns.US exports get more affordable, helping perhaps to close the trade gap"
Google shares fall as staff sell,"Google shares have risen since but fell $12.33 on Tuesday to close at $172.55.There were fears that the potential increase of shares in circulation from Tuesday would ease demand for stock.In one of the most closely-watched initial public offerings in stock market history, the US-based company sold 19.6 million shares at $85 each.Selling the shares could turn many of Google's workers into millionaires.However, analysts say they expected most shareholders would be holding back from selling all their shares immediately, as Google's good performance and future growth potential means demand will hold"
Five million Germans out of work,"Germany's unemployment figure rose above the psychologically important level of five million last month.""Yes, we have effectively more than five million people unemployed,"" a government minister said earlier on ZDF public television.On Wednesday, the German Federal Labour Agency said the jobless total had reached 5.037 million in January, which takes the jobless rate to 12.1%.It said there are a further 1.5 million-2 million people on subsidised employment schemes who are, in fact, looking for real jobs.But the figures are embarrassing for the government.The opposition also made political capital from the figures"
India power shares jump on debut,"Shares in India's largest power producer, National Thermal Power Corp (NTPC) have risen 13% on their stock market debut.""Power needs in India are set to rise and NTPC will benefit from that.""NTPC has said it will use the money from the share sale to feed the growing needs of the country's energy-starved economy.Analysts say the success of the NTPC flotation would encourage the government to reduce stakes in more power companies"
Turkey turns on the economic charm,"If admitted into the EU, Turkey would contribute almost 6bn euros ($8bn; £6bn) to its budget by 2014, according to a recent impact study by the country's State Planning Organisation.Critics insist that much of the optimism about Turkey's economic roadmap has been over-egged - an argument amplified by a 134% rise in the country's current account deficit to $10.7bn during the first 10 months of this year.As Turkey's gross domestic output (GDP) is set to grow by 6% per year on average, its contribution would rise from less than 5bn euros in 2014 to almost 9bn euros by 2020.Three years after a gruelling economic crisis, Turkey has dressed its economy to impress.However, Turkey's assertions are confirmed by Brussels' own impact studies, which indeed say that Turkish membership would be good news for the EU economy.A key factor for EU decision makers should be whether or not Turkey has met its economic criteria.The point of all this has been to convince Europe's decision makers that rather than being a phenomenally costly exercise for the EU, allowing Turkey in would in fact bring masses of economic benefits.""Turkey will not be a burden for the EU budget.""The country's massive debt - which includes $23bn owed to the IMF and billions borrowed via the international bond markets - also remains a major obstacle to its ambition of joining the EU.Costs are projected to be vast during the early years of Turkey's membership, with subsidies alone estimated to exceed 16.5bn euros and, according to some predictions, balloon to 33.5bn euros.""At about 80% of GDP, Turkey's gross debt is double that figure.""Turkey's debts have largely arisen from its efforts to push through banking reform after a run on the banks in 2001 caused the country's devastating recession.The tourism industry is booming and revenues from visitors should more than double to $21bn (£10.8bn) in three years.""In the new member states of the European Union, gross public debt is typically about 40% of gross domestic product,"" says Reza Moghadam, assistant director of the IMF's European Department.Such high initial expenses would be coupled with risks that the benefits flagged up by Turkey's government would never be delivered, say those who feel the Turkish project should be shunned.And although the state of Turkey's economy is important, as is its pace of reform, the final decision on 17 December will be taken by politicians who will, of course, be guided by their political instincts"
SBC plans post-takeover job cuts,"US phone company SBC Communications said it expects to cut around 12,800 jobs following its $16bn (£8.5bn) takeover of former parent AT&T.SBC and AT&T said estimated cost savings of at least $2bn from 2008 were a main driver for the merger.SBC said 5,125 positions would go as a result of network efficiencies.SBC currently employs 163,000 people while AT&T employs 47,000.AT&T is a long-distance telecoms firm, while SBC is mainly focused on the local market in the western US"
German bidder in talks with LSE,"Deutsche Boerse bosses have held ""constructive, professional and friendly"" talks with the London Stock Exchange (LSE), its chief has said.But, Hans Reckers, a board member of Germany's central bank, the Bundesbank, said that cash trading should also remain in Frankfurt, something Deutsche Boerse could move to the UK.The news came as Deutsche Boerse held its third meeting with the LSE since its bid approach in December which was turned down by the London exchange for undervaluing the business.Ahead of talks with the LSE on Friday, the pan-European bourse said it may be prepared to make its offer in cash.Deutsche Boerse could also face mounting opposition to a bid at home.In the meantime, Euronext, which combines the Paris, Amsterdam and Lisbon stock exchanges, also began talks with the LSE.Werner Seifert met LSE chief executive Clara Furse amid rumours the German group may raise its bid to £1.5bn ($2.9bn) from its initial £1.3bn offer.""It is not just the headquarters of the Boerse but also important market segments that must stay permanently in Frankfurt"
Amex shares up on spin-off news,"The US credit card to travel services giant said off-loading American Express Financial Advisors (AEFA) would boost its profitability.The unit was acquired by American Express 20 years ago as Investors Diversified Service, of Minneapolis, at a time when firms were amassing one-stop financial empires.Shares in American Express surged more than 8% on Tuesday after it said it was to spin off its less profitable financial advisory subsidiary.AEFA has more than 12,000 advisers selling financial advice, funds and insurance to 2.5 million customers"
Axa Sun Life cuts bonus payments,"Regular annual bonus rates on former Axa Equity & Law with-profits policies are to be cut from 2% to 1% for 2004.Axa blamed a poor stock market performance for the cut, adding that recent gains have not yet offset the market falls seen in 2001 and 2002.Axa cut payouts for the same investors last January.""The stock market has grown over the past 18 months, however not enough to undo the damage that occurred during 2001 and 2002,"" Axa spokesman Mark Hamilton, Axa spokesman, told BBC News.Life insurer Axa Sun Life has lowered annual bonus payouts for up to 50,000 with-profits investors"
Chinese dam firm 'defies Beijing',"The China Three Gorges Project Corp is refusing to obey a government order to stop construction of one of its giant dams, the Chinese state press has said.The firm has also ignored orders to stop construction at two of its other projects - the Three Gorges Underground Power Plant and the Three Gorges Project Electrical Power Supply Plant.The China Three Gorges Project Corp could now face a fine up to 200,000 yuan ($24,000; £12,700).The builder of the Three Gorges Dam is continuing work on the sister Xiluodu dam, said the Beijing News.""The Three Gorges Corporation has all along abided by the law and have built our projects in accordance with the law,"" it said.It is a sister project to the main Three Gorges Dam downstream where more than half a million people have had to be relocated, drawing criticism from environmental groups and overseas human rights activists"
Stock market eyes Japan recovery,"Japanese shares have ended the year at their highest level since 13 July amidst hopes of an economic recovery during 2005.Earlier this month, the quarterly Tankan survey of Japanese manufacturers found that business confidence had weakened for the first time since March 2003.The Nikkei index of leading shares gained 7.6% during the year to close at 11,488.76 points.The optimism in the financial markets contrast sharply with pessimism in the Japanese business community"
